entityId|creationTm|_epk|key|value
0|2019-09-27T22:21:53.58|_config.sequence.id.value|_config.sequence.id.value|11
1|2019-09-27T22:22:01.885|base.folder.choose|base.folder.choose|C:\Users\fbarbano\Desktop\F1 2019 setup
3|2019-09-27T22:23:09.96|_config.last.commit|_config.last.commit|2019-09-27T23:26:30.745
