entityId|creationTm|_epk|md5|marks
2|2019-09-27T22:22:02.523|ccad0eb3b3291ebafc82c32e4e22b352|ccad0eb3b3291ebafc82c32e4e22b352|6370;6620;6710;6960;7040;7310;7400;7660;8010;8270;8510;8800;8890;9220;9310;10030
4|2019-09-27T22:27:25.75|cc8345b01f61134ef9611b725965b147|cc8345b01f61134ef9611b725965b147|19980
5|2019-09-27T22:29:37.157|3ca695f20324905a67b8280e272516c5|3ca695f20324905a67b8280e272516c5|1100;1190;1530;1620;1680;1850;1940;2140;2230;2430;2440;2510;2530;2820;2830;3030;3190;3450;3530;3790;3870;4130
6|2019-09-27T22:33:43.879|d14cd26b9af6ccccd89f14f1780febcf|d14cd26b9af6ccccd89f14f1780febcf|0;720
7|2019-09-27T22:42:44.83|a464666370a8e4c976626827e42a1f07|a464666370a8e4c976626827e42a1f07|0;1340
8|2019-09-27T22:44:13.075|f37f56057b66494996a04e28760a8d4d|f37f56057b66494996a04e28760a8d4d|0
9|2019-09-27T22:44:42.367|61c7b17faa37ce50761dd1b49cdfcb4c|61c7b17faa37ce50761dd1b49cdfcb4c|880;3820
10|2019-09-27T22:57:21.35|5bfadb7dfd92e9d998920c5ad739c9c6|5bfadb7dfd92e9d998920c5ad739c9c6|
